Report Date,FWC Avg Daily census Individual in Shelter - Adults,FWC Avg Daily census Individual in Shelter - Children,FWC Avg Daily census Individual in Shelter - Total,AF Avg Daily census Individual in Shelter - Adults,SA Avg Daily census Individual in Shelter - Men,SA Avg Daily census Individual in Shelter - Women,SA Avg Daily census Individual in Shelter - Total,FWC Unique Individuals by Age - 0 thru 5,FWC Unique Individuals by Age - 6 thru 13,FWC Unique Individuals by Age - 14 thru 17,FWC  Unique Individuals by Age- 18 thru 20,FWC Unique Individuals by Age - 21 thru 29,FWC Unique Individuals by Age - 30 thru 44,FWC Unique Individuals by Age - 45 thru 64,FWC Unique Individuals by Age - 65 and above,FWC Unique Individuals by Age - Total,AF Unique Individuals by Age - 18 thru 20,AF Unique Individuals by Age - 21 thru 29,AF Unique Individuals by Age - 30 thru 44,AF Unique Individuals by Age - 45 thru 64,AF Unique Individuals by Age - 65 and above,AF Unique Individuals by Age - Total,SA Unique Individuals by Age - 18 thru 29,SA Unique Individuals by Age - 30 thru 44,SA Unique Individuals by Age - 45 thru 64,SA Unique Individuals by Age - 65 and above,SA Unique Individuals by Age - Total,FWC Race/Ethnicity HoH - Asian/Pacific Islander,FWC Race/Ethnicity HoH - Black non-Hispanic,FWC Race/Ethnicity HoH - Hispanic,FWC Race/Ethnicity HoH - Native American,FWC Race/Ethnicity HoH - White non-Hispanic,FWC Race/Ethnicity HoH - Unknown,FWC Race/Ethnicity HoH - Total Heads of Households,AF Race/Ethnicity HoH - Asian/Pacific Islander,AF Race/Ethnicity HoH - Black non-Hispanic,AF Race/Ethnicity HoH - Hispanic,AF Race/Ethnicity HoH - Native American,AF Race/Ethnicity HoH - White non-Hispanic,AF Race/Ethnicity HoH - Unknown,AF Race/Ethnicity HoH - Total Heads of Households,SA Race/Ethnicity HoH - Asian/Pacific Islander,SA Race/Ethnicity HoH - Black non-Hispanic,SA Race/Ethnicity HoH - Hispanic,SA Race/Ethnicity HoH - Native American,SA Race/Ethnicity HoH - White non-Hispanic,SA Race/Ethnicity HoH - Unknown,SA Race/Ethnicity HoH - Total Individuals,FWC - Number of School-Aged Children,FWC - Average School Attendance Rate,FWC - Percent of families successfully placed by youngest school-aged child's school address,"HOME-STAT clients placed into permanent housing, transitional housing, and other settings",Total Homebase Enrollments,fwc_total_shelter_placements,af_total_shelter_placements,sa_total_shelter_placements,sa_shelter_exits_into_supportive_housing
07/01/2015,16591,22955,39546,4446,8624,3346,11970,11187,10730,3542,1569,7214,7478,2198,74,43992,489,1146,1127,1959,136,4857,2317,4410,7740,1036,15503,80,7466,4911,30,396,155,13038,8,1340,697,7,205,58,2315,105,9141,4053,6,1560,638,15503,18675,NA,0.52,NA,2455,676,88,709,127
08/01/2015,16731,23188,39919,4460,8653,3433,12086,11345,10495,3635,1575,7342,7629,2201,81,44303,467,1147,1163,1961,137,4875,2395,4573,8428,1219,16615,79,7588,4986,32,404,166,13255,11,1347,701,6,205,60,2330,114,9772,4264,6,1775,684,16615,18952,NA,0.49,NA,2228,717,67,708,89
09/01/2015,16902,23428,40330,4487,8755,3492,12247,11386,11093,3625,1568,7328,7695,2245,84,45024,476,1139,1180,1982,137,4914,2418,4502,7782,1111,15813,83,7728,4973,29,409,167,13389,10,1344,723,7,202,63,2349,114,9340,4065,8,1623,663,15813,19044,0.845,0.51,NA,2250,732,63,762,148
10/01/2015,16949,23384,40333,4535,8920,3557,12477,11304,10879,3580,1557,7260,7647,2241,87,44555,489,1156,1215,1992,145,4997,2437,4584,7894,1115,16030,79,7712,4903,36,404,166,13300,12,1365,736,7,203,68,2391,121,9434,4160,6,1647,662,16030,18634,0.857,0.56,NA,2241,646,55,822,134
11/01/2015,17060,23458,40518,4556,9107,3578,12685,11275,10863,3543,1528,7313,7639,2198,84,44443,505,1163,1196,1976,146,4986,2704,4648,7652,957,15961,82,7743,4884,36,408,159,13312,12,1378,744,9,199,65,2407,113,9381,4146,4,1651,666,15961,18518,0.845,0.48,NA,1978,530,54,687,110
12/01/2015,17074,23405,40479,4595,9194,3587,12781,11166,10736,3562,1447,7344,7621,2206,80,44162,510,1207,1194,2008,144,5063,2698,4782,7780,973,16233,77,7766,4837,34,410,164,13288,12,1384,743,10,195,64,2408,117,9548,4218,4,1671,675,16233,18242,0.825,0.56,NA,2092,628,56,862,170
01/01/2016,17131,23406,40537,4660,9326,3616,12942,11390,10638,3506,1447,7490,7544,2170,80,44265,513,1227,1162,1973,151,5026,2466,4804,7980,1093,16343,76,7835,4903,32,400,163,13409,11,1368,746,8,198,62,2393,104,9584,4288,2,1678,710,16366,18073,0.818,0.53,NA,1830,647,64,678,117
02/01/2016,17134,23279,40413,4702,9450,3617,13067,11402,10473,3429,1436,7481,7445,2143,73,43882,511,1194,1170,1959,155,4989,2499,4781,7976,1080,16336,73,7769,4900,32,402,172,13348,13,1366,739,8,194,61,2381,109,9573,4309,1,1646,698,16336,17769,0.827,0.53,NA,2031,700,50,697,130
03/01/2016,17058,22900,39958,4724,9511,3654,13165,11493,10324,3364,1476,7556,7395,2127,74,43809,508,1210,1187,1954,150,5009,2627,4889,8027,1066,16609,78,7772,4904,31,404,182,13371,13,1372,749,8,193,57,2392,111,9716,4387,2,1686,707,16609,17506,0.816,0.53,NA,2384,749,42,745,137
04/01/2016,17121,22789,39910,4790,9446,3690,13136,11623,10069,3300,1508,7656,7298,2109,82,43645,536,1238,1209,1961,154,5098,2616,4802,8035,1053,16506,83,7774,4933,32,410,189,13421,16,1401,754,8,200,58,2437,102,9641,4391,2,1674,696,16506,17143,0.837,0.49,NA,2100,710,46,689,123
05/01/2016,17193,22753,39946,4834,9394,3718,13112,11127,10216,3409,1484,7635,7435,2153,84,43543,536,1304,1270,2027,163,5300,2671,4856,8002,1066,16595,86,7777,4959,29,410,187,13448,20,1469,767,7,204,57,2524,100,9579,4468,3,1706,739,16595,16948,0.82,0.48,NA,1986,735,67,661,118
06/01/2016,17179,22643,39822,4916,9315,3745,13060,11211,10135,3371,1493,7667,7458,2128,78,43541,551,1307,1303,2048,166,5375,2669,4841,7995,1052,16557,78,7819,4982,31,432,190,13532,19,1477,790,8,209,57,2560,103,9642,4405,4,1685,718,16557,16738,0.79,0.46,NA,2049,740,67,674,136
