Report Date,FWC Avg Daily census Individual in Shelter - Adults,FWC Avg Daily census Individual in Shelter - Children,FWC Avg Daily census Individual in Shelter - Total,AF Avg Daily census Individual in Shelter - Adults,SA Avg Daily census Individual in Shelter - Men,SA Avg Daily census Individual in Shelter - Women,SA Avg Daily census Individual in Shelter - Total,FWC Unique Individuals by Age - 0 thru 5,FWC Unique Individuals by Age - 6 thru 13,FWC Unique Individuals by Age - 14 thru 17,FWC  Unique Individuals by Age- 18 thru 20,FWC Unique Individuals by Age - 21 thru 29,FWC Unique Individuals by Age - 30 thru 44,FWC Unique Individuals by Age - 45 thru 64,FWC Unique Individuals by Age - 65 and above,FWC Unique Individuals by Age - Total,AF Unique Individuals by Age - 18 thru 20,AF Unique Individuals by Age - 21 thru 29,AF Unique Individuals by Age - 30 thru 44,AF Unique Individuals by Age - 45 thru 64,AF Unique Individuals by Age - 65 and above,AF Unique Individuals by Age - Total,SA Unique Individuals by Age - 18 thru 29,SA Unique Individuals by Age - 30 thru 44,SA Unique Individuals by Age - 45 thru 64,SA Unique Individuals by Age - 65 and above,SA Unique Individuals by Age - Total,FWC Race/Ethnicity HoH - Asian/Pacific Islander,FWC Race/Ethnicity HoH - Black non-Hispanic,FWC Race/Ethnicity HoH - Hispanic,FWC Race/Ethnicity HoH - Native American,FWC Race/Ethnicity HoH - White non-Hispanic,FWC Race/Ethnicity HoH - Unknown,FWC Race/Ethnicity HoH - Total Heads of Households,AF Race/Ethnicity HoH - Asian/Pacific Islander,AF Race/Ethnicity HoH - Black non-Hispanic,AF Race/Ethnicity HoH - Hispanic,AF Race/Ethnicity HoH - Native American,AF Race/Ethnicity HoH - White non-Hispanic,AF Race/Ethnicity HoH - Unknown,AF Race/Ethnicity HoH - Total Heads of Households,SA Race/Ethnicity HoH - Asian/Pacific Islander,SA Race/Ethnicity HoH - Black non-Hispanic,SA Race/Ethnicity HoH - Hispanic,SA Race/Ethnicity HoH - Native American,SA Race/Ethnicity HoH - White non-Hispanic,SA Race/Ethnicity HoH - Unknown,SA Race/Ethnicity HoH - Total Individuals,FWC - Number of School-Aged Children,FWC - Average School Attendance Rate,FWC - Percent of families successfully placed by youngest school-aged child's school address,"HOME-STAT clients placed into permanent housing, transitional housing, and other settings",Total Homebase Enrollments,fwc_total_shelter_placements,af_total_shelter_placements,sa_total_shelter_placements,sa_shelter_exits_into_supportive_housing
07/01/2016,17385,22827,40212,4937,9209,3730,12939,11477,10379,3412,1557,7876,7626,2161,74,44562,564,1287,1275,2056,163,5345,2839,4918,7881,999,16637,90,8008,5114,30,447,197,13886,18,1469,806,6,190,56,2545,112,9734,4507,3,1670,611,16637,18130,NA,0.42,139,2326,705,59,610,78
08/01/2016,17760,23309,41069,4989,9239,3749,12988,11861,10742,3507,1572,8197,7890,2230,73,46072,571,1327,1346,2091,165,5500,2882,4964,7891,1004,16741,95,8282,5329,31,472,200,14409,20,1492,845,6,203,57,2623,118,9938,4449,4,1626,606,16741,18620,NA,0.37,146,2691,865,53,763,127
09/01/2016,17936,23556,41491,5016,9292,3791,13083,11933,10744,3522,1534,8297,7935,2203,75,46243,569,1348,1322,2098,169,5506,2799,5010,7908,1001,16718,95,8377,5377,32,460,200,14541,22,1496,842,6,198,61,2625,113,9818,4505,3,1674,605,16718,18535,0.84,0.42,210,2454,750,57,722,115
10/01/2016,18005,23596,41601,5047,9439,3882,13321,11830,10542,3448,1475,8247,7793,2187,78,45600,543,1354,1326,2097,171,5491,2839,5085,8112,1052,17088,108,8256,5303,30,454,210,14361,21,1488,845,6,201,62,2623,117,10060,4561,4,1719,627,17088,18074,0.84,0.44,195,2361,700,46,656,97
11/01/2016,18095,23737,41832,5189,9599,3873,13472,11811,10540,3464,1464,8197,7810,2205,78,45569,550,1406,1339,2128,165,5588,2841,5058,8116,1080,17095,112,8226,5354,29,453,201,14375,19,1510,857,8,206,66,2666,117,10027,4609,4,1719,620,17096,18003,0.84,0.46,206,2247,608,44,673,92
12/01/2016,17986,23601,41587,5288,9680,3835,13515,11651,10488,3440,1425,8107,7808,2220,74,45213,558,1462,1361,2133,179,5693,2823,5107,8144,1079,17153,114,8171,5310,30,463,206,14294,19,1512,889,9,215,70,2714,112,10056,4623,4,1721,637,17153,17741,0.83,0.5,213,2327,732,35,742,159
01/01/2017,17873,23432,41305,5288,9866,3791,13657,11569,10485,3409,1415,8120,7798,2196,73,45065,567,1462,1366,2153,193,5741,2919,5139,8188,1097,17343,110,8125,5334,27,456,212,14264,21,1512,897,9,222,71,2732,110,10169,4656,3,1763,642,17343,17588,0.84,0.53,230,2487,706,37,614,108
02/01/2017,17762,23266,41028,5255,9975,3820,13795,11370,10349,3379,1390,7931,7706,2157,79,44361,557,1413,1356,2147,193,5666,2870,5044,8123,1090,17127,109,7917,5304,29,455,212,14026,19,1488,888,9,219,71,2694,110,10026,4633,2,1730,626,17127,17228,0.83,0.64,198,2025,624,38,603,103
03/01/2017,17503,22918,40421,5257,10061,3823,13884,11390,10266,3371,1386,7892,7715,2154,77,44251,579,1427,1390,2162,201,5759,2999,5183,8291,1126,17599,106,7869,5306,29,453,219,13982,18,1535,887,9,221,67,2737,114,10351,4724,0,1786,624,17599,17064,0.82,0.51,206,2404,799,64,690,133
04/01/2017,17183,22461,39644,5304,10126,3817,13943,11144,10013,3296,1347,7725,7579,2111,72,43287,601,1402,1392,2130,215,5740,2924,5166,8249,1119,17458,97,7772,5173,28,436,224,13730,17,1513,903,8,223,61,2725,111,10222,4703,0,1786,636,17458,16583,0.82,0.64,157,2053,643,40,586,131
05/01/2017,17084,22318,39402,5247,10174,3821,13995,11087,9994,3293,1386,7596,7607,2119,74,43156,594,1452,1384,2153,216,5799,2951,5200,8350,1132,17633,100,7764,5126,30,428,224,13672,17,1527,909,7,233,63,2756,107,10271,4807,1,1798,649,17633,16465,0.83,0.63,162,2401,700,54,682,120
06/01/2017,16987,22121,39108,5206,10161,3808,13969,11114,9997,3350,1375,7562,7636,2139,77,43250,593,1414,1340,2055,220,5622,2994,5206,8315,1162,17677,100,7785,5175,27,433,222,13742,17,1466,885,6,224,67,2665,118,10343,4801,4,1789,622,17677,16446,0.8,0.48,133,1894,739,43,702,113
07/01/2017,17005,22179,39184,5215,10106,3852,13958,11059,10114,3342,1366,7536,7707,2146,75,43345,614,1428,1394,2094,221,5751,2943,5180,8308,1152,17583,107,7745,5245,29,414,219,13759,15,1483,913,5,237,70,2723,123,10317,4770,4,1732,637,17583,17560,NA,0.44,190,2751,672,32,625,121
08/01/2017,17132,22362,39494,5309,10191,3920,14111,11252,10415,3427,1418,7665,7875,2206,82,44340,636,1430,1402,2116,223,5807,3000,5325,8403,1170,17898,107,7883,5375,29,427,228,14049,16,1510,916,5,238,71,2756,126,10482,4851,2,1789,648,17898,17894,NA,0.5,256,2846,737,46,686,125
09/01/2017,17438,22862,40300,5318,10226,3963,14189,11388,10491,3446,1423,7790,7940,2185,82,44745,630,1453,1398,2104,217,5802,3034,5280,8491,1186,17991,104,7969,5422,26,420,236,14177,16,1511,906,6,238,72,2749,130,10531,4912,2,1756,660,17991,17998,0.84,0.5,206,2313,716,41,677,110
10/01/2017,17610,23078,40688,5259,10267,4041,14308,11521,10546,3461,1432,7669,7936,2169,83,44817,632,1631,1488,2099,224,6074,3048,5318,8583,1213,18162,104,8066,5494,27,436,235,14362,17,1508,912,6,238,71,2752,127,10583,4982,2,1797,671,18162,17878,0.85,0.51,257,2624,771,47,694,118
11/01/2017,17523,22937,40460,5278,10419,4066,14485,11376,10405,3420,1431,7564,7828,2156,86,44266,604,1595,1529,2078,223,6029,3055,5319,8617,1217,18208,104,7991,5476,27,424,238,14260,16,1492,929,6,231,71,2745,126,10662,4929,2,1833,656,18208,17604,0.83,0.52,329,2442,745,42,663,119
12/01/2017,17486,22860,40346,5299,10598,4078,14676,11227,10273,3415,1417,7453,7798,2152,84,43819,605,1587,1523,2096,226,6037,3038,5401,8705,1245,18389,115,7883,5443,27,430,247,14145,12,1487,945,8,229,77,2758,120,10857,4935,1,1797,679,18389,17367,0.82,0.5,289,2085,760,53,677,129
01/01/2018,17477,22776,40253,5294,10800,4095,14895,11276,10385,3420,1443,7483,7879,2198,85,44169,615,1574,1507,2104,228,6028,3066,5485,8814,1292,18657,112,7897,5563,29,416,258,14275,13,1457,951,7,246,73,2747,107,11023,4990,1,1813,723,18657,17384,0.81,0.52,329,2202,665,36,649,120
02/01/2018,17477,22773,40250,5247,11046,4170,15216,11156,10233,3400,1442,7323,7844,2171,81,43650,612,1518,1475,2082,230,5917,3111,5528,8865,1301,18805,113,7772,5462,28,419,247,14041,13,1427,947,8,241,69,2705,100,11086,5068,0,1823,728,18805,17077,0.83,0.48,298,1896,657,50,684,119
03/01/2018,17257,22555,39812,5200,11117,4151,15268,11162,10147,3357,1439,7263,7790,2176,74,43408,629,1541,1464,2089,227,5950,3202,5721,9087,1297,19307,115,7708,5456,24,418,241,13962,14,1428,948,7,240,69,2706,91,11327,5248,0,1877,764,19307,16890,0.81,0.52,330,1933,816,49,797,169
04/01/2018,17042,22220,39262,5118,11211,4144,15355,11122,10104,3275,1395,7241,7702,2156,78,43073,616,1555,1447,2093,223,5934,3188,5712,9059,1309,19268,109,7611,5389,27,415,241,13792,15,1430,943,5,238,68,2699,92,11336,5178,0,1847,815,19268,16664,0.84,0.5,281,2105,725,39,816,128
05/01/2018,16830,21959,38789,5065,11158,4168,15326,10980,9914,3262,1357,7170,7600,2115,80,42478,634,1507,1408,2072,228,5849,3208,5853,9058,1332,19451,106,7534,5353,25,417,252,13687,13,1415,931,5,238,73,2675,88,11419,5251,0,1864,829,19451,16330,0.84,0.5,293,2199,818,43,842,152
06/01/2018,16636,21732,38368,5083,11112,4203,15315,10959,9920,3228,1346,7098,7604,2079,81,42315,630,1477,1424,2066,240,5837,3187,5802,8984,1334,19307,108,7510,5348,26,400,252,13644,14,1410,910,8,245,80,2667,124,11314,5247,0,1881,741,19307,16213,0.76,0.49,257,1896,851,35,783,136
07/01/2018,16691,21821,38512,5156,11092,4211,15302,10904,9978,3210,1366,7260,7650,2103,80,42551,629,1327,1392,2077,247,5672,3295,5831,9131,1350,19607,116,7445,5406,28,410,254,13659,15,1424,919,6,234,76,2674,85,11444,5340,1,1923,814,19607,15969,NA,0.51,202,2206,746,46,694,154
08/01/2018,16794,21939,38732,5229,11145,4307,15452,11061,10184,3252,1385,7412,7727,2125,84,43230,629,1332,1386,2090,244,5681,3353,5905,9122,1365,19745,114,7665,5451,26,410,265,13931,15,1424,922,7,240,68,2676,94,11522,5407,2,1902,818,19745,16111,NA,0.5,227,2716,763,30,729,131
09/01/2018,17003,22336,39339,5289,11252,4365,15617,11140,10322,3236,1347,7441,7775,2153,85,43499,618,1356,1402,2085,255,5716,3338,5935,9155,1354,19782,116,7741,5462,25,402,270,14016,18,1448,924,6,230,72,2698,89,11587,5383,1,1883,839,19782,16127,0.85,0.51,254,2484,661,38,634,115
10/01/2018,17116,22571,39687,5355,11381,4404,15785,11193,10418,3233,1386,7427,7843,2156,90,43746,621,1363,1456,2152,258,5850,3331,6090,9406,1399,20226,126,7820,5473,24,414,274,14131,19,1473,949,10,242,71,2764,91,11893,5455,1,1922,864,20226,16180,0.86,0.5,277,2670,764,37,761,130
11/01/2018,17033,22537,39570,5379,11573,4428,16001,10997,10269,3192,1343,7267,7715,2131,90,43004,598,1346,1434,2165,268,5811,3326,6106,9369,1429,20230,119,7648,5406,24,414,281,13892,19,1457,934,12,251,75,2748,92,11870,5446,1,1948,873,20230,15847,0.84,0.53,311,2103,685,49,750,142
12/01/2018,16967,22392,39359,5363,11674,4437,16111,10753,10285,3216,1320,7175,7743,2106,90,42688,601,1362,1436,2143,264,5806,3310,6092,9334,1438,20174,119,7570,5393,24,408,274,13788,17,1463,934,11,251,68,2744,98,11840,5408,,1966,862,20174,15705,0.85,0.54,321,2013,715,43,688,152
01/01/2019,16943,22429,39371,5397,11873,4470,16342,10897,10352,3242,1331,7261,7796,2125,84,43088,608,1371,1459,2143,270,5851,3399,6219,9539,1455,20612,123,7660,5419,25,405,271,13903,18,1486,929,9,252,73,2767,98,12171,5481,0,1998,864,20612,15732,0.827,0.520697168,358,2569,703,49,761,163
02/01/2019,16765,22191,38956,5367,12040,4476,16516,10740,10193,3228,1302,7088,7745,2114,85,42495,602,1326,1473,2112,267,5780,3366,6076,9537,1457,20436,127,7535,5362,27,401,255,13707,20,1460,905,8,258,79,2730,94,12062,5502,0,1944,834,20436,15439,0.843,0.51540832,335,2297,741,60,709,130
03/01/2019,16619,21897,38517,5305,12045,4436,16481,10673,10100,3191,1323,7085,7661,2099,90,42222,608,1361,1476,2098,268,5811,3429,6309,9680,1445,20863,123,7491,5340,28,402,265,13649,22,1451,931,7,257,79,2747,92,12256,5630,0,2012,873,20863,15178,0.852,0.540348101,304,2594,783,74,805,160
04/01/2019,16093,21174,37267,5261,12052,4425,16477,10544,9972,3143,1309,6996,7600,2053,93,41710,626,1333,1455,2037,258,5709,3399,6291,9600,1444,20734,119,7402,5305,29,400,267,13522,21,1424,922,8,254,73,2702,89,12188,5552,1,2034,870,20734,14893,0.86,0.53,292,2812,1121,35,762,170
05/01/2019,15867,20839,36706,5313,11968,4349,16317,10291,9634,3035,1247,6868,7376,1951,96,40498,633,1328,1468,2069,266,5764,3339,6270,9549,1435,20593,105,7163,5201,29,398,261,13157,21,1437,934,7,254,74,2727,86,12086,5551,1,1998,871,20593,14263,0.85,0.55,258,2488,771,48,842,173
06/01/2019,15789,20758,36547,5331,11818,4349,16167,10355,9495,3002,1270,6776,7368,1959,93,40318,634,1337,1441,2078,267,5757,3279,6244,9501,1433,20457,105,7094,5192,30,379,260,13060,23,1446,936,7,244,69,2725,79,11979,5482,2,2037,878,20457,14028,0.78,0.61,236,2629,684,34,777,118
07/01/2019,15870,20891,36761,5288,11754,4346,16099,10581,9596,3043,1282,6824,7473,1962,88,40849,616,1365,1450,2073,277,5781,3214,6234,9495,1437,20380,107,7117,5260,34,392,262,13172,23,1460,931,9,241,68,2732,96,11991,5437,1,1992,856,20373,15298,NA,0.68,320,2777,696,48,795,129
08/01/2019,16096,21251,37347,5274,11813,4398,16211,10795,9911,3074,1315,7004,7608,1980,89,41776,614,1400,1465,2049,276,5804,3226,6306,9546,1458,20536,112,7305,5373,33,395,262,13480,25,1473,942,10,238,60,2748,95,12066,5509,1,1996,857,20524,15583,NA,0.65,334,2885,735,46,843,146
09/01/2019,16302,21555,37857,5299,11868,4512,16380,10814,9900,3077,1337,7015,7667,1980,89,41879,610,1368,1453,2026,271,5728,3227,6201,9512,1481,20421,115,7334,5391,30,388,270,13528,23,1447,923,9,250,55,2707,91,11986,5475,1,1994,859,20406,16777,0.860387315,0.56,317,2114,668,44,737,92
10/01/2019,16379,21730,38108,5329,11982,4562,16545,10811,9887,3065,1324,6949,7682,1952,84,41754,633,1387,1438,2049,276,5783,3223,6308,9701,1537,20769,112,7318,5329,29,398,273,13459,23,1460,929,10,254,61,2737,87,12182,5552,2,2056,890,20769,16612,0.868618713,0.56,416,3071,664,35,818,150
11/01/2019,16360,21795,38156,5290,12137,4586,16722,10639,9848,3074,1280,6821,7628,1917,87,41294,616,1346,1418,2035,283,5698,3221,6324,9699,1554,20798,115,7181,5281,33,391,262,13263,23,1430,921,9,256,63,2702,87,12191,5580,3,2061,876,20798,16393,0.854111588,0.57,365,2435,658,54,694,106
12/01/2019,16174,21547,37721,5221,12254,4624,16878,10486,9779,3047,1294,6746,7567,1892,92,40903,598,1340,1409,2021,278,5646,3221,6355,9780,1569,20925,112,7096,5238,32,386,266,13130,25,1428,905,9,252,67,2686,88,12288,5582,3,2055,909,20925,16143,0.838606348,0.57,544,2435,726,41,725,145
01/01/2020,16043,21390,37433,5219,12386,4666,17051,10517,9845,3024,1299,6800,7563,1882,94,41024,614,1324,1391,2019,275,5623,3313,6512,9870,1626,21321,107,7120,5262,32,386,283,13190,23,1416,909,10,244,74,2676,86,12528,5689,3,2082,932,21320,16071,0.838663484,0.54,640,2027,786,54,713,122
02/01/2020,15602,20842,36444,5191,12517,4693,17210,10209,9679,2961,1245,6573,7379,1864,91,40001,607,1301,1359,1994,262,5523,3307,6554,9815,1629,21305,102,6892,5148,34,369,281,12826,21,1399,893,9,227,74,2623,88,12483,5733,4,2055,941,21304,15661,0.854299789,0.53,615,2579,857,35,674,140
03/01/2020,15275,20442,35716,5156,12535,4636,17171,9777,9375,2872,1198,6231,7190,1782,85,38510,596,1277,1377,1986,262,5498,3335,6705,10019,1657,21716,101,6618,4936,31,360,264,12310,22,1390,894,9,228,68,2611,92,12674,5869,2,2123,955,21715,15043,*NA,0.47,843,2325,595,32,647,126
04/01/2020,15069,20074,35143,5084,12716,4619,17336,9254,8973,2809,1133,5909,6934,1720,81,36813,554,1177,1325,1939,253,5248,3129,6372,9886,1687,21074,102,6347,4711,30,336,262,11788,24,1336,844,9,218,62,2493,92,12278,5637,3,2083,980,21073,14379,NA due to Corona,0.51,602,1499,459,15,391,60
05/01/2020,14692,19611,34303,4938,12792,4510,17301,9174,8821,2790,1152,5861,6851,1694,77,36420,545,1149,1309,1942,254,5199,3039,6444,9986,1667,21136,101,6278,4702,31,317,257,11686,25,1318,835,8,218,62,2466,93,12354,5663,3,2009,1013,21135,14119,NA due to Corona,0.5,"1,478",1692,533,23,415,62
06/01/2020,14398,19185,33584,4840,13013,4477,17490,9129,8673,2734,1166,5810,6767,1658,79,36016,544,1109,1299,1934,248,5134,3061,6345,9877,1627,20910,95,6218,4675,32,316,259,11595,25,1287,831,9,217,62,2431,97,12289,5605,3,1960,955,20909,13802,NA due to Corona,0.49,517,2069,615,38,438,91
07/01/2020,14153,18852,33004,4717,13086,4472,17558,9001,8606,2664,1197,5714,6715,1611,81,35589,546,1071,1225,1899,241,4982,3082,6422,9935,1626,21065,88,5306,4032,25,274,221,9946,27,1261,798,9,205,59,2359,87,12358,5675,5,1956,984,21065,16089,NA,0.52,470,2171,632,44,500,69
08/01/2020,13907,18568,32475,4613,13163,4522,17685,9004,8522,2599,1141,5713,6648,1567,76,35270,532,1048,1205,1844,237,4866,3034,6417,9957,1651,21059,90,6090,4629,34,310,251,11404,26,1230,775,8,198,62,2299,95,12302,5703,3,1961,995,21059,15855,NA,0.55,389,2126,612,50,459,62
09/01/2020,13724,18356,32080,4480,13264,4540,17805,8943,8449,2581,1137,5659,6581,1530,82,34962,516,1021,1176,1819,229,4761,3058,6472,10005,1681,21216,98,6064,4603,31,297,252,11345,26,1195,764,8,195,64,2252,97,12355,5780,1,1965,1018,21216,15596,68%,0.55,581,2240,636,46,532,102
10/01/2020,13607,18221,31828,4401,13392,4525,17917,8856,8248,2536,1082,5605,6463,1501,81,34372,505,992,1141,1760,224,4622,3108,6567,10182,1678,21535,100,5981,4538,29,302,250,11200,26,1152,743,9,191,60,2181,101,12579,5821,3,2015,1016,21535,15211,74%,0.54,661,2182,509,43,509,114
11/01/2020,13453,17980,31433,4288,13651,4537,18188,8758,8117,2488,1073,5550,6401,1488,77,33952,495,969,1095,1735,219,4513,3140,6589,10218,1703,21650,100,5898,4496,27,303,259,11083,25,1128,717,9,193,62,2134,104,12646,5864,2,2026,1008,21650,14867,77%,0.59,678,1927,515,35,458,129
12/01/2020,13246,17666,30912,4248,13832,4545,18377,8682,7980,2462,1061,5484,6352,1451,75,33547,479,974,1100,1722,214,4489,3160,6832,10357,1766,22115,92,5840,4481,29,295,246,10983,23,1119,710,9,198,63,2122,105,12910,5991,4,2068,1037,22115,14532,79%,0.58,780,2109,664,38,533,150
01/01/2021,12958,17228,30186,4161,13944,4556,18501,8470,7821,2383,1037,5379,6248,1403,70,32811,485,948,1060,1683,213,4389,3211,6865,10502,1804,22382,91,5673,4430,28,288,249,10759,20,1095,702,6,192,59,2074,118,13121,6003,6,2092,1042,22382,14093,80%,0.53,542,2408,539,37,498,84
02/01/2021,12794,16954,29747,4079,13887,4577,18464,7783,7336,2241,934,4897,5833,1341,69,30434,467,885,986,1609,203,4150,3107,6878,10261,1767,22013,86,5471,4344,29,280,252,10462,19,1094,680,6,184,57,2040,111,12945,5873,7,2051,1026,22013,13099,82%,0.56,602,2073,434,42,509,123
03/01/2021,12477,16511,28988,3979,13926,4506,18433,7305,6925,2129,877,4539,5518,1294,66,28653,444,829,937,1548,195,3953,3157,7018,10356,1765,22296,88,5406,4317,29,267,240,10347,19,1072,667,6,183,58,2005,121,13146,5977,5,2023,1024,22296,12298,83%,0.59,662,2621,583,35,655,110
04/01/2021,12086,15960,28046,3884,13700,4383,18091,6710,6408,2024,817,4111,5156,1212,63,26501,412,766,894,1477,189,3738,3116,6863,10168,1725,21872,89,5244,4205,27,258,236,10059,19,1046,667,5,179,53,1969,115,12902,5872,4,1970,1009,21872,11359,83%,0.69,500,2353,641,48,679,95
05/01/2021,11710,15473,27183,3733,13436,4326,17762,7775,6982,2139,959,4854,5675,1277,61,29722,441,876,957,1533,197,4004,3018,6784,9873,1720,21395,82,5097,4121,29,246,217,9792,18,1008,644,5,169,56,1900,127,12664,5728,3,1916,957,21395,12384,84%,0.61,346,2022,589,40,641,87
06/01/2021,11482,15181,26663,3646,13108,4252,17360,7668,6837,2069,950,4775,5560,1255,62,29176,435,852,926,1496,187,3896,2983,6636,9628,1692,20939,73,4970,4100,27,245,207,9622,19,978,623,5,166,57,1848,116,12456,5579,3,1850,935,20939,12039,79%,0.6,341,1937,832,38,611,103
