District,SFCode,BldgCode,SchoolName,SiteAddress,City,Zip,Accessibility,Longitude,Latitude,KosherMealType
4,04146,M146,P.S. 146 Ann M. Short,421 EAST 106 STREET,Manhattan,10029,Partially Accessible,-73.938727,40.789535,non-kosher
6,06278,M918,Paula Hedbavny School,421 W 219TH ST,Manhattan,10034,Partially Accessible,-73.912339,40.871673,non-kosher
17,17546,K470,High School for Public Service: Heroes of Tomorrow,600 KINGSTON AVENUE,Brooklyn,11203,No Accessibility,-73.943839,40.658671,non-kosher
14,14318,K318,I.S. 318 Eugenio Maria De Hostos,101 WALTON STREET,Brooklyn,11206,Partially Accessible,-73.948771,40.703034,non-kosher
17,17138,K138,P.S. 138 Brooklyn,760 PROSPECT PLACE,Brooklyn,11216,Partially Accessible,-73.951559,40.673943,non-kosher
13,13256,K256,P.S. 256 Benjamin Banneker,114 KOSCIUSZKO STREET,Brooklyn,11216,No Accessibility,-73.94961,40.690595,non-kosher
2,02198,M198,P.S. 198 Isador E. Ida Straus,1700 3 AVENUE,Manhattan,10128,No Accessibility,-73.95042,40.785018,non-kosher
32,32376,K376,P.S. 376,194 HARMAN STREET,Brooklyn,11237,No Accessibility,-73.920187,40.69805,non-kosher
20,20220,K220,I.S. 220,4812 9TH AVENUE,Brooklyn,11220,No Accessibility,-74.00125,40.640997,kosher
25,25509,Q460,Flushing High School,35-01 UNION STREET,Queens,11354,No Accessibility,-73.826811,40.764892,non-kosher
7,07005,X005,PS 5 Port Morris,564 JACKSON AVENUE,Bronx,10455,No Accessibility,-73.908358,40.813896,non-kosher
2,02427,M620,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 EAST  33RD STREET,Manhattan,10016,Partially Accessible,-73.98107,40.74651,non-kosher
22,22527,K425,JAMES MADISON HS,3787 BEDFORD AVENUE,Brooklyn,11229,Partially Accessible,-73.947661,40.610499,kosher
12,12536,X879,Wings Academy,1122 EAST 180 STREET,Bronx,10460,Fully Accessible,-73.875262,40.841376,non-kosher
6,06189,M189,P.S. 189,2580 AMSTERDAM AVENUE,Manhattan,10040,Partially Accessible,-73.928048,40.853045,non-kosher
20,20030,K331,I.S. 30 Mary White Ovington,7002 4TH AVENUE,Brooklyn,11209,Fully Accessible,-74.02395,40.633598,non-kosher
2,02868,M131,M.S. 131,100 HESTER STREET,Manhattan,10002,Fully Accessible,-73.993607,40.716231,non-kosher
5,05036,M036,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,Manhattan,10027,No Accessibility,-73.957409,40.810705,non-kosher
14,14016,K016,P.S. 16,157 WILSON STREET,Brooklyn,11211,No Accessibility,-73.962049,40.706069,kosher
22,22078,K078,J.H.S. 078 Roy H. Mann,1420 EAST  68 STREET,Brooklyn,11234,No Accessibility,-73.912914,40.620537,non-kosher
30,30533,Q445,William Cullen Bryant High School,48-10 31 AVENUE,Queens,11103,No Accessibility,-73.911165,40.757072,non-kosher
19,19346,K346,P.S. 346 Abe Stark,1400 PENNSYLVANIA AVENUE,Brooklyn,11239,Partially Accessible,-73.881997,40.64664,non-kosher
11,11175,X175,P.S. 175 City Island,200 CITY ISLAND AVENUE,Bronx,10464,No Accessibility,-73.78354,40.844353,non-kosher
9,09294,X064,The Walton Avenue School,1425 WALTON AVENUE,Bronx,10452,No Accessibility,-73.915879,40.8404,non-kosher
8,08123,X123,J.H.S. 123 James M. Kieran,1025 MORRISON AVENUE,Bronx,10472,No Accessibility,-73.874162,40.824989,non-kosher
22,22234,K234,J.H.S. 234 Arthur W. Cunningham,1875 EAST  17 STREET,Brooklyn,11229,Partially Accessible,-73.955217,40.604447,non-kosher
1,01632,M056,University Neighborhood Middle School,220 HENRY STREET,Manhattan,10002,Partially Accessible,-73.986051,40.713362,non-kosher
6,06646,M814,Community Health Academy of the Heights,504 WEST 158TH STREET,Manhattan,10032,Fully Accessible,-73.942074,40.833695,non-kosher
6,06322,M218,Middle School 322,4600 BROADWAY,Manhattan,10040,Fully Accessible,-73.930082,40.860951,non-kosher
