,Report_Date,Borough,Adult_Family_Shelter,Adult_Shelter,Adult_Shelter_Commercial_Hotel,Family_with_Children_Shelter
0,10/31/2020,Bronx,189.0,73.0,140.0,1202.0
1,10/31/2020,Bronx,160.0,0.0,,866.0
2,10/31/2020,Bronx,258.0,218.0,123.0,1295.0
3,10/31/2020,Bronx,,206.0,99.0,2134.0
4,10/31/2020,Bronx,203.0,0.0,,1054.0
5,10/31/2020,Bronx,66.0,33.0,,1898.0
6,10/31/2020,Bronx,99.0,101.0,,275.0
7,10/31/2020,Bronx,,,,233.0
8,10/31/2020,Bronx,,50.0,,752.0
9,10/31/2020,Bronx,,,,591.0
10,10/31/2020,Bronx,,,,
11,10/31/2020,Bronx,,74.0,137.0,281.0
12,10/31/2020,Brooklyn,145.0,330.0,227.0,
13,10/31/2020,Brooklyn,78.0,96.0,296.0,68.0
14,10/31/2020,Brooklyn,,31.0,100.0,487.0
15,10/31/2020,Brooklyn,,100.0,281.0,802.0
16,10/31/2020,Brooklyn,,441.0,379.0,281.0
17,10/31/2020,Brooklyn,112.0,48.0,421.0,289.0
18,10/31/2020,Brooklyn,,185.0,693.0,
19,10/31/2020,Brooklyn,,221.0,87.0,429.0
20,10/31/2020,Brooklyn,,111.0,,422.0
21,10/31/2020,Brooklyn,,,,
22,10/31/2020,Brooklyn,,,,
23,10/31/2020,Brooklyn,,0.0,96.0,140.0
24,10/31/2020,Brooklyn,,,,
25,10/31/2020,Brooklyn,,,,83.0
26,10/31/2020,Brooklyn,,,,194.0
27,10/31/2020,Brooklyn,,141.0,385.0,2310.0
28,10/31/2020,Brooklyn,,,136.0,647.0
29,10/31/2020,Brooklyn,340.0,,,746.0
30,10/31/2020,Manhattan,,,169.0,
31,10/31/2020,Manhattan,,,159.0,
32,10/31/2020,Manhattan,,131.0,534.0,323.0
33,10/31/2020,Manhattan,,0.0,1449.0,
34,10/31/2020,Manhattan,294.0,,1718.0,336.0
35,10/31/2020,Manhattan,,582.0,514.0,
36,10/31/2020,Manhattan,204.0,62.0,655.0,558.0
37,10/31/2020,Manhattan,,40.0,301.0,
38,10/31/2020,Manhattan,,,,673.0
39,10/31/2020,Manhattan,,388.0,,749.0
40,10/31/2020,Manhattan,,776.0,,541.0
41,10/31/2020,Manhattan,,218.0,,
42,10/31/2020,Queens,,116.0,898.0,314.0
43,10/31/2020,Queens,275.0,,110.0,202.0
44,10/31/2020,Queens,,,366.0,688.0
45,10/31/2020,Queens,,,142.0,526.0
46,10/31/2020,Queens,,95.0,,
47,10/31/2020,Queens,,,,
48,10/31/2020,Queens,,99.0,198.0,
49,10/31/2020,Queens,,,,334.0
50,10/31/2020,Queens,,0.0,,
51,10/31/2020,Queens,,165.0,60.0,
52,10/31/2020,Queens,,,,
53,10/31/2020,Queens,229.0,168.0,1091.0,1375.0
54,10/31/2020,Queens,,,594.0,787.0
55,10/31/2020,Queens,289.0,0.0,195.0,161.0
56,10/31/2020,Staten Island,,,,94.0
57,10/31/2020,Staten Island,,,,
58,10/31/2020,Staten Island,,,,
59,07/31/2018,Bronx,183.0,219.0,,1206.0
60,07/31/2018,Bronx,184.0,,,960.0
61,07/31/2018,Bronx,146.0,424.0,,1347.0
62,07/31/2018,Bronx,,419.0,62.0,1970.0
63,07/31/2018,Bronx,264.0,493.0,,1045.0
64,07/31/2018,Bronx,52.0,120.0,69.0,2161.0
65,07/31/2018,Bronx,96.0,391.0,,320.0
66,07/31/2018,Bronx,,,,274.0
67,07/31/2018,Bronx,,101.0,,212.0
68,07/31/2018,Bronx,,,,575.0
69,07/31/2018,Bronx,,,,
70,07/31/2018,Bronx,,98.0,,299.0
71,07/31/2018,Brooklyn,164.0,682.0,,
72,07/31/2018,Brooklyn,205.0,386.0,,71.0
73,07/31/2018,Brooklyn,,562.0,,647.0
74,07/31/2018,Brooklyn,,364.0,65.0,811.0
75,07/31/2018,Brooklyn,,849.0,259.0,819.0
76,07/31/2018,Brooklyn,,97.0,286.0,
77,07/31/2018,Brooklyn,,188.0,88.0,13.0
78,07/31/2018,Brooklyn,48.0,571.0,,518.0
79,07/31/2018,Brooklyn,,362.0,,428.0
80,07/31/2018,Brooklyn,,,,
81,07/31/2018,Brooklyn,,,,
82,07/31/2018,Brooklyn,,,,164.0
83,07/31/2018,Brooklyn,,,,
84,07/31/2018,Brooklyn,,,,98.0
85,07/31/2018,Brooklyn,40.0,,,211.0
86,07/31/2018,Brooklyn,,664.0,118.0,2486.0
87,07/31/2018,Brooklyn,,,137.0,796.0
88,07/31/2018,Brooklyn,361.0,,,865.0
89,07/31/2018,Manhattan,,,,
90,07/31/2018,Manhattan,,,,
91,07/31/2018,Manhattan,,882.0,244.0,383.0
92,07/31/2018,Manhattan,304.0,267.0,,
93,07/31/2018,Manhattan,260.0,,,324.0
94,07/31/2018,Manhattan,,989.0,,
95,07/31/2018,Manhattan,186.0,309.0,,606.0
96,07/31/2018,Manhattan,,78.0,,
97,07/31/2018,Manhattan,67.0,,,792.0
98,07/31/2018,Manhattan,398.0,558.0,,851.0
99,07/31/2018,Manhattan,,1144.0,,686.0
100,07/31/2018,Manhattan,,289.0,,
101,07/31/2018,Queens,,200.0,,335.0
102,07/31/2018,Queens,106.0,,53.0,230.0
103,07/31/2018,Queens,,,90.0,881.0
104,07/31/2018,Queens,,,135.0,369.0
105,07/31/2018,Queens,,,94.0,
106,07/31/2018,Queens,,,,
107,07/31/2018,Queens,,100.0,,
108,07/31/2018,Queens,,,,318.0
109,07/31/2018,Queens,,,,
110,07/31/2018,Queens,,174.0,64.0,
111,07/31/2018,Queens,,,,
112,07/31/2018,Queens,275.0,357.0,825.0,1049.0
113,07/31/2018,Queens,,,430.0,761.0
114,07/31/2018,Queens,302.0,,,
115,07/31/2018,Staten Island,,,,141.0
116,07/31/2018,Staten Island,,,,
117,07/31/2018,Staten Island,,,,
118,08/31/2018,Bronx,184.0,212.0,,1231.0
119,08/31/2018,Bronx,188.0,,,967.0
120,08/31/2018,Bronx,154.0,426.0,,1361.0
121,08/31/2018,Bronx,,431.0,74.0,1947.0
122,08/31/2018,Bronx,264.0,492.0,,1067.0
123,08/31/2018,Bronx,84.0,121.0,80.0,2252.0
124,08/31/2018,Bronx,95.0,539.0,,336.0
125,08/31/2018,Bronx,,,,272.0
126,08/31/2018,Bronx,,100.0,,223.0
127,08/31/2018,Bronx,,,,578.0
128,08/31/2018,Bronx,,,,
129,08/31/2018,Bronx,,107.0,,300.0
130,08/31/2018,Brooklyn,172.0,668.0,,
131,08/31/2018,Brooklyn,191.0,383.0,,72.0
132,08/31/2018,Brooklyn,,558.0,,704.0
133,08/31/2018,Brooklyn,,363.0,65.0,796.0
134,08/31/2018,Brooklyn,,843.0,259.0,830.0
135,08/31/2018,Brooklyn,,96.0,278.0,
136,08/31/2018,Brooklyn,,182.0,87.0,13.0
137,08/31/2018,Brooklyn,50.0,543.0,,517.0
138,08/31/2018,Brooklyn,,345.0,,438.0
139,08/31/2018,Brooklyn,,,,
140,08/31/2018,Brooklyn,,,,
141,08/31/2018,Brooklyn,,,,155.0
142,08/31/2018,Brooklyn,,,,
143,08/31/2018,Brooklyn,,,,97.0
144,08/31/2018,Brooklyn,,,,218.0
145,08/31/2018,Brooklyn,,663.0,120.0,2508.0
146,08/31/2018,Brooklyn,,,133.0,820.0
147,08/31/2018,Brooklyn,373.0,,,871.0
148,08/31/2018,Manhattan,,,,
149,08/31/2018,Manhattan,,,,
150,08/31/2018,Manhattan,,876.0,239.0,367.0
151,08/31/2018,Manhattan,300.0,263.0,,
152,08/31/2018,Manhattan,281.0,,,335.0
153,08/31/2018,Manhattan,,991.0,,
154,08/31/2018,Manhattan,176.0,304.0,,579.0
155,08/31/2018,Manhattan,,80.0,,
156,08/31/2018,Manhattan,75.0,,,798.0
157,08/31/2018,Manhattan,400.0,553.0,,887.0
158,08/31/2018,Manhattan,,1167.0,,663.0
159,08/31/2018,Manhattan,,286.0,,
160,08/31/2018,Queens,,199.0,,351.0
161,08/31/2018,Queens,204.0,,,233.0
162,08/31/2018,Queens,,,87.0,878.0
163,08/31/2018,Queens,,,134.0,321.0
164,08/31/2018,Queens,,,103.0,
165,08/31/2018,Queens,,,,
166,08/31/2018,Queens,,97.0,,
167,08/31/2018,Queens,,,,321.0
168,08/31/2018,Queens,,,,
169,08/31/2018,Queens,,169.0,64.0,
170,08/31/2018,Queens,,,,
171,08/31/2018,Queens,264.0,356.0,773.0,1060.0
172,08/31/2018,Queens,,,432.0,828.0
173,08/31/2018,Queens,322.0,,,
174,08/31/2018,Staten Island,,,,139.0
175,08/31/2018,Staten Island,,,,
176,08/31/2018,Staten Island,,,,
177,09/30/2018,Bronx,172.0,220.0,,1223.0
178,09/30/2018,Bronx,188.0,,,953.0
179,09/30/2018,Bronx,162.0,426.0,,1342.0
180,09/30/2018,Bronx,,438.0,74.0,1984.0
181,09/30/2018,Bronx,271.0,496.0,,1074.0
182,09/30/2018,Bronx,96.0,119.0,77.0,2246.0
183,09/30/2018,Bronx,102.0,615.0,,326.0
184,09/30/2018,Bronx,,,,265.0
185,09/30/2018,Bronx,,101.0,,232.0
186,09/30/2018,Bronx,,,,593.0
187,09/30/2018,Bronx,,,,
188,09/30/2018,Bronx,,108.0,,294.0
189,09/30/2018,Brooklyn,144.0,684.0,,
190,09/30/2018,Brooklyn,208.0,389.0,,77.0
191,09/30/2018,Brooklyn,,566.0,,700.0
192,09/30/2018,Brooklyn,,371.0,66.0,785.0
193,09/30/2018,Brooklyn,,871.0,258.0,844.0
194,09/30/2018,Brooklyn,,99.0,286.0,
195,09/30/2018,Brooklyn,,186.0,88.0,13.0
196,09/30/2018,Brooklyn,60.0,578.0,,513.0
197,09/30/2018,Brooklyn,,357.0,,438.0
198,09/30/2018,Brooklyn,,,,
199,09/30/2018,Brooklyn,,,,
200,09/30/2018,Brooklyn,,,,158.0
201,09/30/2018,Brooklyn,,,,
202,09/30/2018,Brooklyn,,,,96.0
203,09/30/2018,Brooklyn,,,,217.0
204,09/30/2018,Brooklyn,,659.0,114.0,2596.0
205,09/30/2018,Brooklyn,,,138.0,858.0
206,09/30/2018,Brooklyn,370.0,,,882.0
207,09/30/2018,Manhattan,,,,
208,09/30/2018,Manhattan,,,,
209,09/30/2018,Manhattan,,898.0,244.0,369.0
210,09/30/2018,Manhattan,300.0,266.0,,
211,09/30/2018,Manhattan,299.0,,,352.0
212,09/30/2018,Manhattan,,987.0,,
213,09/30/2018,Manhattan,172.0,312.0,,583.0
214,09/30/2018,Manhattan,,80.0,,
215,09/30/2018,Manhattan,74.0,,,779.0
216,09/30/2018,Manhattan,397.0,566.0,,863.0
217,09/30/2018,Manhattan,,1167.0,,666.0
218,09/30/2018,Manhattan,,290.0,,
219,09/30/2018,Queens,,199.0,,365.0
220,09/30/2018,Queens,249.0,,,231.0
221,09/30/2018,Queens,,,87.0,845.0
222,09/30/2018,Queens,,,136.0,405.0
223,09/30/2018,Queens,,,101.0,
224,09/30/2018,Queens,,,,
225,09/30/2018,Queens,,101.0,,
226,09/30/2018,Queens,,,,316.0
227,09/30/2018,Queens,,,,
228,09/30/2018,Queens,,174.0,63.0,
229,09/30/2018,Queens,,,,
230,09/30/2018,Queens,268.0,355.0,850.0,1067.0
231,09/30/2018,Queens,,,425.0,797.0
232,09/30/2018,Queens,309.0,,,
233,09/30/2018,Staten Island,,,,136.0
234,09/30/2018,Staten Island,,,,
235,09/30/2018,Staten Island,,,,
236,10/31/2018,Bronx,182.0,223.0,,1210.0
237,10/31/2018,Bronx,200.0,,,974.0
238,10/31/2018,Bronx,166.0,429.0,,1363.0
239,10/31/2018,Bronx,,433.0,76.0,1962.0
240,10/31/2018,Bronx,269.0,493.0,,1060.0
241,10/31/2018,Bronx,104.0,124.0,80.0,2293.0
242,10/31/2018,Bronx,112.0,628.0,,326.0
243,10/31/2018,Bronx,,,,274.0
244,10/31/2018,Bronx,,99.0,,227.0
245,10/31/2018,Bronx,,,,591.0
246,10/31/2018,Bronx,,,,
247,10/31/2018,Bronx,,108.0,,294.0
248,10/31/2018,Brooklyn,166.0,702.0,,
249,10/31/2018,Brooklyn,205.0,389.0,,76.0
250,10/31/2018,Brooklyn,,549.0,,652.0
251,10/31/2018,Brooklyn,,369.0,62.0,811.0
252,10/31/2018,Brooklyn,,867.0,262.0,858.0
253,10/31/2018,Brooklyn,,100.0,286.0,
254,10/31/2018,Brooklyn,,188.0,87.0,13.0
255,10/31/2018,Brooklyn,66.0,520.0,,517.0
256,10/31/2018,Brooklyn,,359.0,,426.0
257,10/31/2018,Brooklyn,,,,
258,10/31/2018,Brooklyn,,,,
259,10/31/2018,Brooklyn,,,,155.0
260,10/31/2018,Brooklyn,,,,
261,10/31/2018,Brooklyn,,,,96.0
262,10/31/2018,Brooklyn,,,,213.0
263,10/31/2018,Brooklyn,,650.0,119.0,2584.0
264,10/31/2018,Brooklyn,,,137.0,866.0
265,10/31/2018,Brooklyn,374.0,,,875.0
266,10/31/2018,Manhattan,,,,
267,10/31/2018,Manhattan,,,,
268,10/31/2018,Manhattan,,890.0,245.0,372.0
269,10/31/2018,Manhattan,299.0,268.0,,
270,10/31/2018,Manhattan,297.0,,,353.0
271,10/31/2018,Manhattan,,968.0,,
272,10/31/2018,Manhattan,188.0,311.0,,599.0
273,10/31/2018,Manhattan,,80.0,,
274,10/31/2018,Manhattan,74.0,,,769.0
275,10/31/2018,Manhattan,407.0,568.0,,872.0
276,10/31/2018,Manhattan,,1289.0,,663.0
277,10/31/2018,Manhattan,,291.0,,
278,10/31/2018,Queens,,200.0,,356.0
279,10/31/2018,Queens,260.0,,,229.0
280,10/31/2018,Queens,,,91.0,864.0
281,10/31/2018,Queens,,,134.0,394.0
282,10/31/2018,Queens,,,109.0,
283,10/31/2018,Queens,,,,
284,10/31/2018,Queens,,100.0,,
285,10/31/2018,Queens,,,,323.0
286,10/31/2018,Queens,,,,
287,10/31/2018,Queens,,174.0,62.0,
288,10/31/2018,Queens,,,,
289,10/31/2018,Queens,277.0,349.0,963.0,1046.0
290,10/31/2018,Queens,,,480.0,826.0
291,10/31/2018,Queens,289.0,,,58.0
292,10/31/2018,Staten Island,,,,134.0
293,10/31/2018,Staten Island,,,,
294,10/31/2018,Staten Island,,,,
295,11/30/2018,Bronx,184.0,224.0,,1253.0
296,11/30/2018,Bronx,198.0,,,963.0
297,11/30/2018,Bronx,174.0,416.0,,1393.0
298,11/30/2018,Bronx,,438.0,74.0,1937.0
299,11/30/2018,Bronx,279.0,496.0,,1049.0
300,11/30/2018,Bronx,104.0,112.0,87.0,2253.0
301,11/30/2018,Bronx,114.0,628.0,,331.0
302,11/30/2018,Bronx,,,,251.0
303,11/30/2018,Bronx,,100.0,,228.0
304,11/30/2018,Bronx,,,,593.0
305,11/30/2018,Bronx,,,,
306,11/30/2018,Bronx,,108.0,,300.0
307,11/30/2018,Brooklyn,164.0,660.0,,
308,11/30/2018,Brooklyn,197.0,378.0,,75.0
309,11/30/2018,Brooklyn,,561.0,,678.0
310,11/30/2018,Brooklyn,,366.0,63.0,821.0
311,11/30/2018,Brooklyn,,889.0,254.0,862.0
312,06/30/2020,Queens,,,,
313,11/30/2018,Brooklyn,,99.0,281.0,
