,Report_Date,Borough,Adult_Family_Shelter,Adult_Shelter,Adult_Shelter_Commercial_Hotel,Family_with_Children_Shelter
314,11/30/2018,Brooklyn,,185.0,87.0,13.0
315,11/30/2018,Brooklyn,58.0,525.0,,512.0
316,11/30/2018,Brooklyn,,360.0,,424.0
317,11/30/2018,Brooklyn,,,,
318,11/30/2018,Brooklyn,,,,
319,11/30/2018,Brooklyn,,,,156.0
320,11/30/2018,Brooklyn,,,,
321,11/30/2018,Brooklyn,,,,97.0
322,11/30/2018,Brooklyn,,,,224.0
323,11/30/2018,Brooklyn,,661.0,117.0,2557.0
324,11/30/2018,Brooklyn,,,137.0,886.0
325,11/30/2018,Brooklyn,363.0,,,864.0
326,11/30/2018,Manhattan,,,,
327,11/30/2018,Manhattan,,,,
328,11/30/2018,Manhattan,,886.0,243.0,376.0
329,11/30/2018,Manhattan,303.0,267.0,,
330,11/30/2018,Manhattan,291.0,,,353.0
331,11/30/2018,Manhattan,,969.0,,
332,11/30/2018,Manhattan,144.0,312.0,,589.0
333,11/30/2018,Manhattan,,78.0,,
334,11/30/2018,Manhattan,76.0,,,767.0
335,11/30/2018,Manhattan,401.0,565.0,,876.0
336,11/30/2018,Manhattan,,1335.0,,674.0
337,11/30/2018,Manhattan,,289.0,,
338,11/30/2018,Queens,,198.0,,343.0
339,11/30/2018,Queens,284.0,,,218.0
340,11/30/2018,Queens,,,91.0,862.0
341,11/30/2018,Queens,,,248.0,408.0
342,11/30/2018,Queens,,,110.0,
343,11/30/2018,Queens,,,,
344,11/30/2018,Queens,,101.0,,
345,11/30/2018,Queens,,,,322.0
346,11/30/2018,Queens,,,,
347,11/30/2018,Queens,,172.0,53.0,
348,11/30/2018,Queens,,,,
349,11/30/2018,Queens,284.0,347.0,946.0,1033.0
350,11/30/2018,Queens,,,492.0,822.0
351,11/30/2018,Queens,318.0,,,133.0
352,11/30/2018,Staten Island,,,,134.0
353,11/30/2018,Staten Island,,,,
354,11/30/2018,Staten Island,,,,
355,12/31/2018,Bronx,174.0,218.0,,1246.0
356,12/31/2018,Bronx,193.0,,,958.0
357,12/31/2018,Bronx,243.0,369.0,,1404.0
358,12/31/2018,Bronx,,426.0,76.0,1974.0
359,12/31/2018,Bronx,279.0,498.0,,1041.0
360,12/31/2018,Bronx,100.0,113.0,87.0,2260.0
361,12/31/2018,Bronx,115.0,615.0,,321.0
362,12/31/2018,Bronx,,,,255.0
363,12/31/2018,Bronx,,100.0,,221.0
364,12/31/2018,Bronx,,,,600.0
365,12/31/2018,Bronx,,,,
366,12/31/2018,Bronx,,107.0,,289.0
367,12/31/2018,Brooklyn,160.0,684.0,,
368,12/31/2018,Brooklyn,180.0,370.0,,73.0
369,12/31/2018,Brooklyn,,568.0,,667.0
370,12/31/2018,Brooklyn,,368.0,64.0,822.0
371,12/31/2018,Brooklyn,,937.0,259.0,840.0
372,12/31/2018,Brooklyn,,100.0,375.0,
373,12/31/2018,Brooklyn,,184.0,86.0,10.0
374,12/31/2018,Brooklyn,66.0,529.0,35.0,513.0
375,12/31/2018,Brooklyn,,360.0,,408.0
376,12/31/2018,Brooklyn,,,,
377,12/31/2018,Brooklyn,,,,
378,12/31/2018,Brooklyn,,,,155.0
379,12/31/2018,Brooklyn,,,,
380,12/31/2018,Brooklyn,,,,96.0
381,12/31/2018,Brooklyn,,,,221.0
382,12/31/2018,Brooklyn,,652.0,116.0,2530.0
383,12/31/2018,Brooklyn,,,136.0,898.0
384,12/31/2018,Brooklyn,363.0,,,848.0
385,12/31/2018,Manhattan,,,,
386,12/31/2018,Manhattan,,,,
387,12/31/2018,Manhattan,,886.0,242.0,366.0
388,12/31/2018,Manhattan,304.0,265.0,,
389,12/31/2018,Manhattan,320.0,,,345.0
390,12/31/2018,Manhattan,,887.0,,
391,12/31/2018,Manhattan,26.0,310.0,,597.0
392,12/31/2018,Manhattan,,79.0,,
393,12/31/2018,Manhattan,78.0,,,761.0
394,12/31/2018,Manhattan,411.0,564.0,,869.0
395,12/31/2018,Manhattan,,1349.0,,672.0
396,12/31/2018,Manhattan,,285.0,,
397,12/31/2018,Queens,,192.0,,360.0
398,12/31/2018,Queens,311.0,,,238.0
399,12/31/2018,Queens,,,90.0,846.0
400,12/31/2018,Queens,,,129.0,385.0
401,12/31/2018,Queens,,,110.0,
402,12/31/2018,Queens,,,,
403,12/31/2018,Queens,,101.0,,
404,12/31/2018,Queens,,,,322.0
405,12/31/2018,Queens,,,,
406,12/31/2018,Queens,,172.0,61.0,
407,12/31/2018,Queens,,,,
408,12/31/2018,Queens,284.0,349.0,966.0,1035.0
409,12/31/2018,Queens,,,556.0,826.0
410,12/31/2018,Queens,315.0,,,155.0
411,12/31/2018,Staten Island,,,,137.0
412,12/31/2018,Staten Island,,,,
413,12/31/2018,Staten Island,,,,
414,01/31/2019,Bronx,177.0,220.0,,1271.0
415,01/31/2019,Bronx,198.0,,,901.0
416,01/31/2019,Bronx,252.0,392.0,,1412.0
417,01/31/2019,Bronx,,425.0,76.0,1969.0
418,01/31/2019,Bronx,275.0,497.0,,1056.0
419,01/31/2019,Bronx,102.0,124.0,90.0,2318.0
420,01/31/2019,Bronx,111.0,627.0,,326.0
421,01/31/2019,Bronx,,,,246.0
422,01/31/2019,Bronx,,101.0,,226.0
423,01/31/2019,Bronx,,,,596.0
424,01/31/2019,Bronx,,,,
425,01/31/2019,Bronx,,108.0,,292.0
426,01/31/2019,Brooklyn,155.0,691.0,,
427,01/31/2019,Brooklyn,192.0,379.0,,72.0
428,01/31/2019,Brooklyn,,567.0,,677.0
429,01/31/2019,Brooklyn,,369.0,63.0,834.0
430,01/31/2019,Brooklyn,,983.0,258.0,847.0
431,01/31/2019,Brooklyn,,100.0,429.0,
432,01/31/2019,Brooklyn,,181.0,103.0,12.0
433,01/31/2019,Brooklyn,64.0,576.0,83.0,514.0
434,01/31/2019,Brooklyn,,358.0,,415.0
435,01/31/2019,Brooklyn,,,,
436,01/31/2019,Brooklyn,,,,
437,01/31/2019,Brooklyn,,,,150.0
438,01/31/2019,Brooklyn,,,,
439,01/31/2019,Brooklyn,,,,98.0
440,01/31/2019,Brooklyn,,,,213.0
441,01/31/2019,Brooklyn,,664.0,117.0,2556.0
442,01/31/2019,Brooklyn,,,138.0,904.0
443,01/31/2019,Brooklyn,365.0,,,867.0
444,01/31/2019,Manhattan,,,,
445,01/31/2019,Manhattan,,,,
446,01/31/2019,Manhattan,,877.0,242.0,375.0
447,01/31/2019,Manhattan,,265.0,,
448,01/31/2019,Manhattan,308.0,,,357.0
449,01/31/2019,Manhattan,322.0,930.0,,
450,01/31/2019,Manhattan,,311.0,,588.0
451,01/31/2019,Manhattan,34.0,79.0,,
452,01/31/2019,Manhattan,,,,791.0
453,01/31/2019,Manhattan,78.0,559.0,,841.0
454,01/31/2019,Manhattan,411.0,1370.0,,670.0
455,01/31/2019,Manhattan,,292.0,,
456,01/31/2019,Queens,,199.0,,393.0
457,01/31/2019,Queens,301.0,,,234.0
458,01/31/2019,Queens,,,89.0,850.0
459,01/31/2019,Queens,,,157.0,411.0
460,01/31/2019,Queens,,,110.0,
461,01/31/2019,Queens,,,,
462,01/31/2019,Queens,,100.0,,
463,01/31/2019,Queens,,,,325.0
464,01/31/2019,Queens,,,,
465,01/31/2019,Queens,,174.0,63.0,
466,01/31/2019,Queens,,,,
467,01/31/2019,Queens,282.0,344.0,1053.0,1022.0
468,01/31/2019,Queens,,,566.0,829.0
469,01/31/2019,Queens,304.0,,,163.0
470,01/31/2019,Staten Island,,,,142.0
471,01/31/2019,Staten Island,,,,
472,01/31/2019,Staten Island,,,,
473,04/30/2019,Bronx,179.0,214.0,,1271.0
474,04/30/2019,Bronx,185.0,,,786.0
475,04/30/2019,Bronx,283.0,455.0,,1379.0
476,04/30/2019,Bronx,,440.0,76.0,1975.0
477,04/30/2019,Bronx,273.0,493.0,,1056.0
478,04/30/2019,Bronx,84.0,125.0,89.0,2212.0
479,04/30/2019,Bronx,111.0,623.0,,312.0
480,04/30/2019,Bronx,,,,250.0
481,04/30/2019,Bronx,,101.0,,219.0
482,04/30/2019,Bronx,,,,598.0
483,04/30/2019,Bronx,,,,
484,04/30/2019,Bronx,,105.0,,277.0
485,04/30/2019,Brooklyn,152.0,673.0,,
486,04/30/2019,Brooklyn,189.0,383.0,,76.0
487,04/30/2019,Brooklyn,,569.0,,670.0
488,04/30/2019,Brooklyn,,362.0,61.0,828.0
489,04/30/2019,Brooklyn,,925.0,256.0,856.0
490,04/30/2019,Brooklyn,,100.0,427.0,
491,04/30/2019,Brooklyn,,189.0,101.0,12.0
492,04/30/2019,Brooklyn,66.0,493.0,90.0,502.0
493,04/30/2019,Brooklyn,,366.0,,414.0
494,04/30/2019,Brooklyn,,,,
495,04/30/2019,Brooklyn,,,,
496,04/30/2019,Brooklyn,,,,146.0
497,04/30/2019,Brooklyn,,,,
498,04/30/2019,Brooklyn,,,,96.0
499,04/30/2019,Brooklyn,,,,207.0
500,04/30/2019,Brooklyn,,658.0,114.0,2543.0
501,04/30/2019,Brooklyn,,,135.0,892.0
502,04/30/2019,Brooklyn,367.0,,,835.0
503,04/30/2019,Manhattan,,,,
504,04/30/2019,Manhattan,,,,
505,04/30/2019,Manhattan,,906.0,233.0,370.0
506,04/30/2019,Manhattan,299.0,265.0,,
507,04/30/2019,Manhattan,311.0,,,349.0
508,04/30/2019,Manhattan,,952.0,,
509,04/30/2019,Manhattan,96.0,212.0,,610.0
510,04/30/2019,Manhattan,,80.0,,
511,04/30/2019,Manhattan,81.0,,,754.0
512,04/30/2019,Manhattan,403.0,553.0,,825.0
513,04/30/2019,Manhattan,,1375.0,,684.0
514,04/30/2019,Manhattan,,289.0,,
515,04/30/2019,Queens,,193.0,,377.0
516,04/30/2019,Queens,261.0,,,237.0
517,04/30/2019,Queens,,,90.0,835.0
518,04/30/2019,Queens,,,160.0,396.0
519,04/30/2019,Queens,,,110.0,
520,04/30/2019,Queens,,,,
521,04/30/2019,Queens,,99.0,,
522,04/30/2019,Queens,,,,313.0
523,04/30/2019,Queens,,75.0,,
524,04/30/2019,Queens,,274.0,60.0,
525,04/30/2019,Queens,,,,
526,04/30/2019,Queens,276.0,332.0,1089.0,1040.0
527,04/30/2019,Queens,,,554.0,781.0
528,04/30/2019,Queens,285.0,,,165.0
529,04/30/2019,Staten Island,,,,135.0
530,04/30/2019,Staten Island,,,,
531,04/30/2019,Staten Island,,,,
532,05/31/2019,Bronx,179.0,217.0,,1276.0
533,05/31/2019,Bronx,184.0,,,787.0
534,05/31/2019,Bronx,312.0,472.0,,1360.0
535,05/31/2019,Bronx,,412.0,74.0,2105.0
536,05/31/2019,Bronx,247.0,493.0,,1059.0
537,05/31/2019,Bronx,88.0,99.0,91.0,2260.0
538,05/31/2019,Bronx,114.0,616.0,,319.0
539,05/31/2019,Bronx,,,,247.0
540,05/31/2019,Bronx,,100.0,,213.0
541,05/31/2019,Bronx,,,,603.0
542,05/31/2019,Bronx,,,,
543,05/31/2019,Bronx,,106.0,,287.0
544,05/31/2019,Brooklyn,125.0,649.0,,
545,05/31/2019,Brooklyn,194.0,375.0,,72.0
546,05/31/2019,Brooklyn,,545.0,,655.0
547,05/31/2019,Brooklyn,,359.0,57.0,838.0
548,05/31/2019,Brooklyn,,869.0,249.0,860.0
549,05/31/2019,Brooklyn,,97.0,422.0,
550,05/31/2019,Brooklyn,,181.0,99.0,10.0
551,05/31/2019,Brooklyn,64.0,495.0,86.0,515.0
552,05/31/2019,Brooklyn,,358.0,,422.0
553,05/31/2019,Brooklyn,,,,
554,05/31/2019,Brooklyn,,,,
555,05/31/2019,Brooklyn,,,,118.0
556,05/31/2019,Brooklyn,,,,
557,05/31/2019,Brooklyn,,,,89.0
558,05/31/2019,Brooklyn,,,,214.0
559,05/31/2019,Brooklyn,,656.0,107.0,2498.0
560,05/31/2019,Brooklyn,,,135.0,890.0
561,05/31/2019,Brooklyn,356.0,,,830.0
562,05/31/2019,Manhattan,,,,
563,05/31/2019,Manhattan,,,,
564,05/31/2019,Manhattan,,862.0,224.0,376.0
565,05/31/2019,Manhattan,290.0,265.0,,
566,05/31/2019,Manhattan,297.0,,,341.0
567,05/31/2019,Manhattan,,859.0,,
568,05/31/2019,Manhattan,224.0,212.0,,614.0
569,05/31/2019,Manhattan,,79.0,,
570,05/31/2019,Manhattan,50.0,,,773.0
571,05/31/2019,Manhattan,412.0,560.0,,834.0
572,05/31/2019,Manhattan,,1260.0,,666.0
573,05/31/2019,Manhattan,,285.0,,
